date,type,fvg_size_pips,rsi_at_entry,atr_at_entry,momentum_ratio,news_bias,LABEL_WIN
2016-12-09 15:00:00,0,3.08,44.19,3.04,2.56,-1,1
2016-12-16 21:00:00,0,0.26,50.42,3.7,2.0,1,0
2016-12-23 17:00:00,0,1.74,66.32,1.61,1.77,0,1
2016-12-27 12:00:00,0,0.16,73.77,3.05,1.29,-1,0
2016-12-28 21:00:00,0,0.73,58.72,2.16,1.35,0,0
2016-12-30 23:00:00,1,2.04,40.62,2.91,1.67,0,1
2017-01-10 19:00:00,1,2.31,51.4,3.4,1.68,0,0
2017-01-31 14:00:00,0,3.09,66.48,2.73,4.04,1,0
2017-02-01 15:00:00,1,1.59,44.74,2.3,1.05,-3,0
2017-02-08 02:00:00,1,0.16,51.26,2.48,1.52,-1,1
2017-02-09 17:00:00,1,2.24,37.27,2.88,1.97,1,0
2017-02-13 07:00:00,1,0.84,47.56,2.78,1.64,0,0
2017-02-17 23:00:00,1,3.15,36.58,2.57,1.22,0,0
2017-02-17 18:00:00,1,1.54,48.55,2.31,1.98,0,0
2017-03-03 20:00:00,0,0.5,44.73,3.34,1.17,-1,0
2017-04-24 03:00:00,1,1.04,35.45,3.83,3.98,0,0
2017-07-12 15:00:00,0,1.62,72.17,2.44,3.22,1,0
2017-07-20 17:00:00,1,0.67,64.64,2.64,1.83,1,1
2017-07-24 19:00:00,1,0.2,54.65,2.25,1.01,0,0
